resource,cluster
|Ripchip Bot|,1
|Atila rey|,[5-10)
|Sergio Andres Segovia|,[10-20)
|KLBot2|,[2-5)
|Antonorsi|,1
|Leonpolanco|,[2-5)
|UA31|,[10-20)
|MetroBot|,[5-10)
|Jerowiki|,[2-5)
|BOMBINI|,1
|Baquides|,[2-5)
|George Miquilena|,1
|Sonsaz|,1
|Marcoantoniothomas|,[2-5)
|EEIM|,1
|Davius|,1
|TjBot|,1
|PePeEfe|,[10-20)
|JackieBot|,1
|Alberto ECJ|,1
|Addbot|,1
|Roboting|,[2-5)
|AVIADOR|,[10-20)
|Metrónomo|,1
|Quijav|,1
|Fremen|,[5-10)
|Arjuno3|,[20-50)
|Roger de Lauria|,[2-5)
|El Ayudante|,[10-20)
|Juan Guillermo Bermudez Ocampo|,1
|Alpidia|,1
|Piero71|,1
|Mettallzoar|,1
|Waka Waka|,1
|Cdertf|,1
|Savh|,1
|Expósito|,[10-20)
|LlamaAl|,[2-5)
|Jkbw|,[50-100)
|Daniblanco|,1
|Technopat|,[20-50)
|BY THE|,[2-5)
|Ricardogpn|,[2-5)
|Edmenb|,1
|TeleMania|,[2-5)
|Alexia28|,1
|Ludwika.osunar1|,1
|Pkachu133|,[2-5)
|Fefyta001|,1
|Srengel|,1
|Perla Lucz|,1
|Soulreaper|,[2-5)
|Panda Girl|,[5-10)
|Carlosdgilp|,[2-5)
|Eduardosalg|,[10-20)
|David Steven|,1
|Mena Nava|,[2-5)
|Cyndi Lilibeth|,[2-5)
|Yécely Pérez|,1
|Iliana.UNAM|,1
|ADEALA|,[2-5)
|Balles2601|,[5-10)
|Falete1999|,1
|Alonso de Mendoza|,[2-5)
|Isaac Daniel Velazquez Bello|,1
|Gsrdzl|,[20-50)
|Robercejas|,1
|Pollamerda|,1
|Halfdrag|,[10-20)
|Cacamania|,1
|Helmy oved|,1
|Pagiusalvi|,1
|Theliamzombiejuan|,1
|Karen jazhel velazqez|,[2-5)
|Kirito|,[2-5)
|Damian.zepedap|,[2-5)
|Brenda Enríquez|,1
|Syum90|,[2-5)
|EstebanJals|,1
|Mendezraymundo|,1
|RSalas15|,1
|Ontzak|,[5-10)
|MaKiNeoH|,1
|BroOkWiki|,1
|Rotlink|,1
|Nodes5|,1
|Gaijin|,[2-5)
|Daniel Alcides Gómez Vargas|,1
|Liam1234~eswiki|,1
|Facundo002|,1
|Matiia|,[5-10)
|JPOK|,[2-5)
|MrCharro|,[2-5)
|PIPOXXLLL|,1
|Grup 8 FTEL UOC|,1
|AaRoN2002snb|,[2-5)
|Holamen|,1
|Nioger|,1
|Ener6|,[20-50)
|Knobulose|,[10-20)
|Nerêo|,1
|Greenny|,1
|Dggionco|,1
|Taichi|,1
|Rufflos|,[2-5)
|Rajahllame|,[2-5)
|Alfonso Márquez|,[2-5)
|CommonsDelinker|,[2-5)
|Jjjuannn|,1
|Mr.Publius|,[5-10)
|Hola 12345678910hola|,[2-5)
|Egis57|,1
|Jarould|,[5-10)
|Jfkhfgjycfh|,[2-5)
|Revent|,1
|Totahm|,[2-5)
|Wikimusicreador|,1
|Dewmart|,1
|BenjaBot|,[2-5)
|Galandil|,[2-5)
|Jmvkrecords|,1
|Basquetteur|,[5-10)
|Lectorina|,[2-5)
|Romulanus|,[5-10)
|U-95|,1
|Andreslopgal3112|,[5-10)
|Jose nnnn|,1
|Elvisor|,1
|Jzh2074|,1
|1969|,1
|Rzuwig|,1
|Gato con patas|,1
|Lemilio775|,1
|AlvaroMolina|,1
|Mar del Sur|,1
|Ignaciogu|,1
|EMans|,1
|Krassnine|,[2-5)
|Jualve|,[2-5)
|Stïnger|,[2-5)
|Lourdes Sada|,[2-5)
|SuperBraulio13|,[2-5)
|4lextintor|,[5-10)
|Palissy|,1
|JPLema|,[5-10)
|PatruBOT|,[20-50)
|Franco WikiPedia|,1
|Jose luis orozco|,1
|NinoBot|,[2-5)
|Luis F 934|,1
|Fuegocraft320|,[2-5)
|FrescoBot|,1
|Yema de huevo|,1
|David 4rancibia|,1
|JamesP|,1
|Adrian Carmona Atienza|,[2-5)
|Pichu VI|,1
|Jacobocall200323|,1
|CAPTAIN RAJU|,1
|Valentina gonzalez matajira|,1
|Abraza2los2|,1
|Caro0218|,[2-5)
|Geom|,1
|El vigilante de los AB|,1
|Macesito|,1
|Semibot|,[2-5)
|MartinCito Tantaleán|,1
|Nachotraidor|,1
|InternetArchiveBot|,[2-5)
|Diego AH|,1
|Viascos|,1
|Cesar.muroya|,1
|Jorge|,[2-5)
|Strakhov|,1
